InstitutionId,InstitutionName,col_cat,Value,Period
416061,THE STANDARD BANK OF S A LTD,B_notice_short,100254164.0,2009-02-01
416061,THE STANDARD BANK OF S A LTD,C_savings,36486440.0,2009-02-01
416061,THE STANDARD BANK OF S A LTD,D_term_wholesale,197394279.0,2009-02-01
416088,NEDBANK LTD,A_operational,157126430.0,2009-02-01
416088,NEDBANK LTD,B_notice_short,64407015.0,2009-02-01
416088,NEDBANK LTD,C_savings,8203384.0,2009-02-01
416088,NEDBANK LTD,D_term_wholesale,167603117.0,2009-02-01
TOTAL,*TOTAL*,A_operational,711025537.91,2009-02-01
TOTAL,*TOTAL*,B_notice_short,323748417.06,2009-02-01
TOTAL,*TOTAL*,C_savings,111494540.78999999,2009-02-01
